index,lr,weight_decay,epochs,threshold,device,verbose,early_stopping,early_stopping_thresold,criterion,hidden_layer_K,hidden_layer_L,reproducible,accuracy,f1-score
0,1e-05,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.4375,0.3333333333333333,
1,1e-05,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.5,0.0,
2,1e-05,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.5625,0.5833333333333333,
3,1e-05,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.5,0.4916666666666667,
4,1e-05,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.5625,0.5833333333333333,
5,1e-05,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.75,0.7416666666666667,
6,1e-05,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.375,0.35,
7,1e-05,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.5,0.0,
8,1e-05,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.5625,0.5833333333333333,
9,1e-05,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.5625,0.4916666666666667,
10,1e-05,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.5,0.5166666666666666,
11,1e-05,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.6875,0.6583333333333333,
12,1e-05,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.4375,0.3916666666666666,
13,1e-05,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.5,0.0,
14,1e-05,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.5625,0.45,
15,1e-05,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.625,0.41666666666666663,
16,1e-05,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.5,0.5166666666666666,
17,1e-05,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.75,0.7,
18,1e-05,1e-05,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.6875,0.6666666666666666,
