index,lr,weight_decay,epochs,threshold,device,verbose,early_stopping,early_stopping_thresold,criterion,hidden_layer_K,hidden_layer_L,reproducible,mse,mae,rmse,r2,
0,1e-05,1e-05,500,None,cpu,False,True,0.5,MSELoss(),16,1,True,20.52117556333542,3.6985876858234406,4.30649346113205,-2.4860258251428604,
1,1e-05,1e-05,500,None,cpu,False,True,0.5,MSELoss(),16,2,True,17.673993349075317,3.901580333709717,4.123956501483917,-6.822344779968262,
2,1e-05,1e-05,500,None,cpu,False,True,0.5,MSELoss(),32,1,True,19.848549872636795,3.0595843493938446,4.02508419752121,-10.32449147105217,
3,1e-05,1e-05,500,None,cpu,False,True,0.5,MSELoss(),32,2,True,15.463160991668701,3.496066451072693,3.894107222557068,-17.450011432170868,
4,1e-05,1e-05,500,None,cpu,False,True,0.5,MSELoss(),64,1,True,10.373888850212097,2.846833050251007,3.167207360267639,-18.990091741085052,
5,1e-05,1e-05,500,None,cpu,False,True,0.5,MSELoss(),64,2,True,16.97856307029724,3.5853936672210693,4.026216804981232,-19.170955419540405,
6,1e-05,1e-05,500,None,cpu,False,False,0.5,MSELoss(),16,1,True,25.47529101371765,3.8895031213760376,4.661635041236877,-10.452099412679672,
7,1e-05,1e-05,500,None,cpu,False,False,0.5,MSELoss(),16,2,True,17.673993349075317,3.901580333709717,4.123956501483917,-6.822344779968262,
8,1e-05,1e-05,500,None,cpu,False,False,0.5,MSELoss(),32,1,True,19.849028378725052,3.107490509748459,4.018056154251099,-4.622228592634201,
9,1e-05,1e-05,500,None,cpu,False,False,0.5,MSELoss(),32,2,True,15.463160991668701,3.496066451072693,3.894107222557068,-17.450011432170868,
10,1e-05,1e-05,500,None,cpu,False,False,0.5,MSELoss(),64,1,True,10.373888850212097,2.846833050251007,3.167207360267639,-18.990091741085052,
11,1e-05,1e-05,500,None,cpu,False,False,0.5,MSELoss(),64,2,True,16.86475968360901,3.5705084800720215,4.0106454491615295,-17.354586601257324,
12,1e-05,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),16,1,True,23.777618408203125,3.7468205094337463,4.443781733512878,-18.67344057559967,
13,1e-05,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),16,2,True,15.734825491905212,3.6655407547950745,3.891413986682892,-8.802746057510376,
14,1e-05,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),32,1,True,19.918750286102295,3.0701900124549866,4.0523152351379395,-10.356112658977509,
15,1e-05,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),32,2,True,15.272123098373413,3.453756332397461,3.8729057908058167,-19.17104858160019,
16,1e-05,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),64,1,True,9.565427541732788,2.6541571021080017,3.05288827419281,-25.467461973428726,
17,1e-05,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),64,2,True,16.989349603652954,3.5766793489456177,4.0313127636909485,-20.417376041412354,
18,1e-05,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),16,1,True,24.70614719390869,3.899808704853058,4.577353060245514,-18.208321452140808,
19,1e-05,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),16,2,True,15.734825491905212,3.6655407547950745,3.891413986682892,-8.802746057510376,
20,1e-05,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),32,1,True,22.513563096523285,3.2055005729198456,4.33955705165863,-3.633894234895706,
